auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.1899,0.5504,0.1079,0.1319,0.19,0.1557,AnnThyroid,D,SO_GAAL,0.09090909090909091,1100,100
0.7433,0.932,0.576,0.6184,0.875,0.7246,CreditCard,A,SO_GAAL,0.09090909090909091,2200,200
0.6622,0.9709,0.6649,0.75,0.825,0.7857,NSL-KDD,C,FEAWAD,0.09090909090909091,2200,200
0.7889,0.9562,0.7935,0.7591,0.835,0.7952,CreditCard,A,VAE,0.09090909090909091,2200,200
0.9289,0.9793,0.929,0.8091,0.89,0.8476,CreditCard,A,FTTransformer,0.09090909090909091,2200,200
0.0782,0.6812,0.0851,0.0762,0.1739,0.106,EmailSpam-bert,A,DeepSVDD,0.04397705544933078,1046,46
0.7721,0.9198,0.7729,0.7455,0.82,0.781,CreditCard,A,DeepSVDD,0.09090909090909091,2200,200
0.5795,0.9213,0.5871,0.5955,0.655,0.6238,CreditCard,C,AE,0.09090909090909091,2200,200
0.6962,0.9429,0.7025,0.6909,0.76,0.7238,CreditCard,B,LUNAR,0.09090909090909091,2200,200
0.9234,0.9668,0.9236,0.8318,0.915,0.8714,CreditCard,D,DevNet,0.09090909090909091,2200,200
0.0594,0.6127,0.0624,0.0667,0.1522,0.0927,EmailSpam-bert,C,DeepSVDD,0.04397705544933078,1046,46
0.8986,0.9676,0.8988,0.7909,0.87,0.8286,CreditCard,D,FTTransformer,0.09090909090909091,2200,200
0.8901,0.9714,0.8933,0.8182,0.9,0.8571,CreditCard,D,FEAWAD,0.09090909090909091,2200,200
0.1052,0.7152,0.1118,0.1333,0.3043,0.1854,EmailSpam-bert,C,GANoma,0.04397705544933078,1046,46
0.1036,0.7906,0.1084,0.1238,0.2826,0.1722,EmailSpam-bert,B,VAE,0.04397705544933078,1046,46
0.7741,0.9672,0.7747,0.7273,0.8,0.7619,NSL-KDD,C,VAE,0.09090909090909091,2200,200
0.3649,0.791,0.3671,0.3364,0.37,0.3524,AnnThyroid,B,AE,0.09090909090909091,1100,100
0.6679,0.9339,0.6702,0.5682,0.625,0.5952,NSL-KDD,A,LUNAR,0.09090909090909091,2200,200
0.3034,0.7402,0.3075,0.3182,0.35,0.3333,AnnThyroid,D,VAE,0.09090909090909091,1100,100
0.548,0.8292,0.5256,0.5182,0.57,0.5429,NSL-KDD,D,SO_GAAL,0.09090909090909091,2200,200
0.6293,0.9573,0.6331,0.6773,0.745,0.7095,NSL-KDD,C,DeepSVDD,0.09090909090909091,2200,200
0.4104,0.8128,0.4127,0.4091,0.45,0.4286,CreditCard,A,DAGMM,0.09090909090909091,2200,200
0.2151,0.7914,0.2174,0.2318,0.255,0.2429,NSL-KDD,C,DAGMM,0.09090909090909091,2200,200
0.8992,0.9596,0.8993,0.8091,0.89,0.8476,CreditCard,C,FTTransformer,0.09090909090909091,2200,200
0.3337,0.7575,0.337,0.3273,0.36,0.3429,AnnThyroid,C,VAE,0.09090909090909091,1100,100
0.1268,0.7944,0.1334,0.1524,0.3478,0.2119,EmailSpam-bert,D,AE,0.04397705544933078,1046,46
0.7197,0.9451,0.7259,0.6773,0.745,0.7095,CreditCard,D,VAE,0.09090909090909091,2200,200
0.0498,0.5272,0.0536,0.0571,0.1304,0.0795,EmailSpam-bert,B,DeepSVDD,0.04397705544933078,1046,46
0.7497,0.9789,0.7525,0.4095,0.9348,0.5695,EmailSpam-bert,A,FEAWAD,0.04397705544933078,1046,46
0.1941,0.6803,0.1977,0.2273,0.25,0.2381,AnnThyroid,D,DeepSVDD,0.09090909090909091,1100,100
0.3549,0.7501,0.3568,0.3091,0.34,0.3238,AnnThyroid,A,DeepSVDD,0.09090909090909091,1100,100
0.7794,0.9379,0.6631,0.7253,0.845,0.7806,CreditCard,B,SO_GAAL,0.09090909090909091,2200,200
0.9227,0.9628,0.9228,0.8227,0.905,0.8619,CreditCard,B,FEAWAD,0.09090909090909091,2200,200
0.5637,0.9005,0.5703,0.5955,0.655,0.6238,CreditCard,C,LUNAR,0.09090909090909091,2200,200
0.8392,0.9888,0.8412,0.8,0.88,0.8381,AnnThyroid,B,FTTransformer,0.09090909090909091,1100,100
0.9434,0.975,0.9435,0.8318,0.915,0.8714,CreditCard,B,DevNet,0.09090909090909091,2200,200
0.7539,0.9269,0.6154,0.6746,0.85,0.7522,CreditCard,C,SO_GAAL,0.09090909090909091,2200,200
0.8723,0.9458,0.8725,0.7591,0.835,0.7952,CreditCard,B,GANoma,0.09090909090909091,2200,200
0.6724,0.9182,0.6734,0.5545,0.61,0.581,NSL-KDD,B,LUNAR,0.09090909090909091,2200,200
0.8464,0.97,0.8479,0.4095,0.9348,0.5695,EmailSpam-bert,C,DevNet,0.04397705544933078,1046,46
0.1029,0.6928,0.1135,0.1143,0.2609,0.1589,EmailSpam-bert,D,DeepSVDD,0.04397705544933078,1046,46
0.7715,0.973,0.774,0.8091,0.89,0.8476,NSL-KDD,A,FEAWAD,0.09090909090909091,2200,200
0.1637,0.6542,0.1671,0.2455,0.27,0.2571,AnnThyroid,B,GANoma,0.09090909090909091,1100,100
0.4889,0.8682,0.496,0.5091,0.56,0.5333,CreditCard,C,DeepSVDD,0.09090909090909091,2200,200
0.866,0.9702,0.8689,0.7955,0.875,0.8333,CreditCard,C,FEAWAD,0.09090909090909091,2200,200
0.2979,0.7256,0.3025,0.2727,0.3,0.2857,AnnThyroid,C,GANoma,0.09090909090909091,1100,100
0.6529,0.9024,0.6104,0.6182,0.68,0.6476,NSL-KDD,B,SO_GAAL,0.09090909090909091,2200,200
0.219,0.7121,0.2235,0.2636,0.29,0.2762,CreditCard,B,DAGMM,0.09090909090909091,2200,200
0.8953,0.9913,0.896,0.4286,0.9783,0.596,EmailSpam-bert,C,FEAWAD,0.04397705544933078,1046,46
0.2878,0.7501,0.2915,0.2909,0.32,0.3048,AnnThyroid,A,AE,0.09090909090909091,1100,100
0.7343,0.9475,0.7392,0.6955,0.765,0.7286,CreditCard,C,VAE,0.09090909090909091,2200,200
0.9592,0.9895,0.9593,0.8545,0.94,0.8952,NSL-KDD,A,FTTransformer,0.09090909090909091,2200,200
0.8179,0.973,0.8184,0.7273,0.8,0.7619,NSL-KDD,B,VAE,0.09090909090909091,2200,200
0.7505,0.9494,0.7568,0.6955,0.765,0.7286,CreditCard,B,DeepSVDD,0.09090909090909091,2200,200
0.2491,0.7538,0.2549,0.2818,0.31,0.2952,AnnThyroid,C,LUNAR,0.09090909090909091,1100,100
0.1099,0.5786,0.1119,0.0909,0.1,0.0952,AnnThyroid,D,GANoma,0.09090909090909091,1100,100
0.9614,0.9856,0.9614,0.8545,0.94,0.8952,NSL-KDD,B,DevNet,0.09090909090909091,2200,200
0.8794,0.9728,0.8805,0.4286,0.9783,0.596,EmailSpam-bert,A,DevNet,0.04397705544933078,1046,46
0.8538,0.988,0.8548,0.7818,0.86,0.819,AnnThyroid,A,DevNet,0.09090909090909091,1100,100
0.2631,0.7666,0.2707,0.3091,0.34,0.3238,AnnThyroid,D,LUNAR,0.09090909090909091,1100,100
0.143,0.8093,0.1516,0.1429,0.3261,0.1987,EmailSpam-bert,A,AE,0.04397705544933078,1046,46
0.7643,0.9686,0.7649,0.6818,0.75,0.7143,NSL-KDD,B,AE,0.09090909090909091,2200,200
0.8579,0.9886,0.8589,0.7818,0.86,0.819,AnnThyroid,B,DevNet,0.09090909090909091,1100,100
0.231,0.7104,0.2317,0.1604,0.3696,0.2237,EmailSpam-bert,D,SO_GAAL,0.04397705544933078,1046,46
0.0934,0.701,0.0991,0.1143,0.2609,0.1589,EmailSpam-bert,A,GANoma,0.04397705544933078,1046,46
0.7793,0.9829,0.7855,0.7182,0.79,0.7524,AnnThyroid,D,FTTransformer,0.09090909090909091,1100,100
0.9418,0.9728,0.9418,0.8318,0.915,0.8714,CreditCard,C,DevNet,0.09090909090909091,2200,200
0.0559,0.5947,0.0587,0.0381,0.087,0.053,EmailSpam-bert,B,SO_GAAL,0.04397705544933078,1046,46
0.12,0.7743,0.1269,0.1524,0.3478,0.2119,EmailSpam-bert,B,GANoma,0.04397705544933078,1046,46
0.7221,0.9246,0.5627,0.6157,0.825,0.7051,CreditCard,D,SO_GAAL,0.09090909090909091,2200,200
0.6463,0.9096,0.6503,0.5773,0.635,0.6048,CreditCard,D,GANoma,0.09090909090909091,2200,200
0.8032,0.9158,0.8037,0.7545,0.83,0.7905,CreditCard,C,GANoma,0.09090909090909091,2200,200
0.4931,0.8683,0.4954,0.4,0.44,0.419,NSL-KDD,C,LUNAR,0.09090909090909091,2200,200
0.2039,0.6346,0.2111,0.2909,0.32,0.3048,AnnThyroid,C,DAGMM,0.09090909090909091,1100,100
0.6091,0.9587,0.6133,0.7227,0.795,0.7571,NSL-KDD,A,DeepSVDD,0.09090909090909091,2200,200
0.7282,0.9648,0.7291,0.6773,0.745,0.7095,NSL-KDD,D,VAE,0.09090909090909091,2200,200
0.675,0.9653,0.6775,0.75,0.825,0.7857,NSL-KDD,A,GANoma,0.09090909090909091,2200,200
0.6464,0.9555,0.6488,0.7091,0.78,0.7429,NSL-KDD,B,DeepSVDD,0.09090909090909091,2200,200
0.1487,0.8258,0.1565,0.1619,0.3696,0.2252,EmailSpam-bert,B,AE,0.04397705544933078,1046,46
0.3216,0.7835,0.326,0.3273,0.36,0.3429,AnnThyroid,B,LUNAR,0.09090909090909091,1100,100
0.7551,0.8958,0.7566,0.3714,0.8478,0.5166,EmailSpam-bert,D,DevNet,0.04397705544933078,1046,46
0.0523,0.5298,0.0571,0.0667,0.1522,0.0927,EmailSpam-bert,D,DAGMM,0.04397705544933078,1046,46
0.9614,0.9887,0.9615,0.8591,0.945,0.9,NSL-KDD,B,FTTransformer,0.09090909090909091,2200,200
0.4647,0.8788,0.4686,0.5227,0.575,0.5476,CreditCard,D,LUNAR,0.09090909090909091,2200,200
0.5057,0.8622,0.5074,0.4091,0.45,0.4286,AnnThyroid,B,DeepSVDD,0.09090909090909091,1100,100
0.8055,0.9847,0.8081,0.4286,0.9783,0.596,EmailSpam-bert,D,FEAWAD,0.04397705544933078,1046,46
0.1096,0.7341,0.1157,0.1524,0.3478,0.2119,EmailSpam-bert,D,GANoma,0.04397705544933078,1046,46
