model;dataset;scenario;time
AE;NSL-KDD;A;5.31
VAE;NSL-KDD;A;29.8
DeepSVDD;NSL-KDD;A;5.85
DAGMM;NSL-KDD;A;23.04
SO_GAAL;NSL-KDD;A;19.2
LUNAR;NSL-KDD;A;5.11
GANoma;NSL-KDD;A;13.02
FTTransformer;NSL-KDD;B;537.2
FEAWAD;NSL-KDD;B;271.91
DevNet;NSL-KDD;B;13.12
FTTransformer;NSL-KDD;C;732.18
FEAWAD;NSL-KDD;C;274.29
DevNet;NSL-KDD;C;12.47
FTTransformer;NSL-KDD;D;997.74
FEAWAD;NSL-KDD;D;272.82
DevNet;NSL-KDD;D;12.77
FTTransformer;NSL-KDD;E;754.71
FEAWAD;NSL-KDD;E;278.29
DevNet;NSL-KDD;E;13.3
AE;CreditCard;A;4.06
VAE;CreditCard;A;27.23
DeepSVDD;CreditCard;A;5.86
DAGMM;CreditCard;A;22.92
SO_GAAL;CreditCard;A;19.7
LUNAR;CreditCard;A;4.74
GANoma;CreditCard;A;9.95
FTTransformer;CreditCard;B;204.19
FEAWAD;CreditCard;B;265.48
DevNet;CreditCard;B;13.03
FTTransformer;CreditCard;C;384.82
FEAWAD;CreditCard;C;267.18
DevNet;CreditCard;C;12.95
FTTransformer;CreditCard;D;385.17
FEAWAD;CreditCard;D;264.52
DevNet;CreditCard;D;12.89
FTTransformer;CreditCard;E;365.29
FEAWAD;CreditCard;E;265.92
DevNet;CreditCard;E;12.4
AE;AnnThyroid;A;2.48
VAE;AnnThyroid;A;16.0
DeepSVDD;AnnThyroid;A;3.38
DAGMM;AnnThyroid;A;16.71
SO_GAAL;AnnThyroid;A;4.06
LUNAR;AnnThyroid;A;3.28
GANoma;AnnThyroid;A;5.74
FTTransformer;AnnThyroid;B;89.88
FEAWAD;AnnThyroid;B;267.9
DevNet;AnnThyroid;B;12.89
FTTransformer;AnnThyroid;C;133.36
FEAWAD;AnnThyroid;C;265.52
DevNet;AnnThyroid;C;12.66
FTTransformer;AnnThyroid;D;121.31
FEAWAD;AnnThyroid;D;260.76
DevNet;AnnThyroid;D;12.81
FTTransformer;AnnThyroid;E;171.96
FEAWAD;AnnThyroid;E;258.63
DevNet;AnnThyroid;E;12.84
AE;EmailSpam-bert;A;2.16
VAE;EmailSpam-bert;A;29.1
DeepSVDD;EmailSpam-bert;A;3.29
DAGMM;EmailSpam-bert;A;10.01
SO_GAAL;EmailSpam-bert;A;11.62
LUNAR;EmailSpam-bert;A;3.08
GANoma;EmailSpam-bert;A;8.19
FTTransformer;EmailSpam-bert;B;1957.28
FEAWAD;EmailSpam-bert;B;379.64
DevNet;EmailSpam-bert;B;12.8
FTTransformer;EmailSpam-bert;C;8038.91
FEAWAD;EmailSpam-bert;C;383.61
DevNet;EmailSpam-bert;C;12.9
FTTransformer;EmailSpam-bert;D;1947.61
FEAWAD;EmailSpam-bert;D;376.24
DevNet;EmailSpam-bert;D;12.95
FTTransformer;EmailSpam-bert;E;3904.6
FEAWAD;EmailSpam-bert;E;393.32
DevNet;EmailSpam-bert;E;13.91
AE;NSL-KDD;A;5.46
VAE;NSL-KDD;A;29.25
DeepSVDD;NSL-KDD;A;5.74
DAGMM;NSL-KDD;A;23.44
SO_GAAL;NSL-KDD;A;19.74
LUNAR;NSL-KDD;A;6.27
GANoma;NSL-KDD;A;13.91
FTTransformer;NSL-KDD;B;564.19
FEAWAD;NSL-KDD;B;272.8
DevNet;NSL-KDD;B;13.45
FTTransformer;NSL-KDD;C;941.13
FEAWAD;NSL-KDD;C;281.83
DevNet;NSL-KDD;C;12.8
FTTransformer;NSL-KDD;D;1007.91
FEAWAD;NSL-KDD;D;278.06
DevNet;NSL-KDD;D;12.73
FTTransformer;NSL-KDD;E;924.55
FEAWAD;NSL-KDD;E;272.83
DevNet;NSL-KDD;E;12.99
AE;CreditCard;A;4.59
VAE;CreditCard;A;28.62
DeepSVDD;CreditCard;A;5.9
DAGMM;CreditCard;A;26.2
SO_GAAL;CreditCard;A;18.83
LUNAR;CreditCard;A;4.55
GANoma;CreditCard;A;9.84
FTTransformer;CreditCard;B;223.81
FEAWAD;CreditCard;B;262.21
DevNet;CreditCard;B;12.98
FTTransformer;CreditCard;C;326.22
FEAWAD;CreditCard;C;260.64
DevNet;CreditCard;C;12.47
FTTransformer;CreditCard;D;370.98
FEAWAD;CreditCard;D;258.97
DevNet;CreditCard;D;13.15
FTTransformer;CreditCard;E;297.65999999999997
FEAWAD;CreditCard;E;259.99
DevNet;CreditCard;E;13.32
AE;AnnThyroid;A;2.69
VAE;AnnThyroid;A;16.11
DeepSVDD;AnnThyroid;A;3.39
DAGMM;AnnThyroid;A;12.77
SO_GAAL;AnnThyroid;A;4.05
LUNAR;AnnThyroid;A;3.33
GANoma;AnnThyroid;A;5.67
FTTransformer;AnnThyroid;B;85.48
FEAWAD;AnnThyroid;B;257.39
DevNet;AnnThyroid;B;13.2
FTTransformer;AnnThyroid;C;123.04
