auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.222,0.5992,0.1677,0.2252,0.25,0.237,AnnThyroid,D,SO_GAAL,0.09090909090909091,1100,100
0.7472,0.9298,0.6019,0.6602,0.855,0.7451,CreditCard,A,SO_GAAL,0.09090909090909091,2200,200
0.7585,0.9779,0.7611,0.8091,0.89,0.8476,NSL-KDD,C,FEAWAD,0.09090909090909091,2200,200
0.7131,0.9428,0.7194,0.6773,0.745,0.7095,CreditCard,A,VAE,0.09090909090909091,2200,200
0.9314,0.977,0.9315,0.8182,0.9,0.8571,CreditCard,A,FTTransformer,0.09090909090909091,2200,200
0.0936,0.7147,0.0982,0.1048,0.2391,0.1457,EmailSpam-bert,A,DeepSVDD,0.04397705544933078,1046,46
0.6514,0.9173,0.6554,0.6318,0.695,0.6619,CreditCard,A,DeepSVDD,0.09090909090909091,2200,200
0.4633,0.8923,0.4711,0.4818,0.53,0.5048,CreditCard,C,AE,0.09090909090909091,2200,200
0.4267,0.8552,0.435,0.4773,0.525,0.5,CreditCard,B,LUNAR,0.09090909090909091,2200,200
0.9367,0.9652,0.9368,0.8318,0.915,0.8714,CreditCard,D,DevNet,0.09090909090909091,2200,200
0.1006,0.5935,0.1051,0.1048,0.2391,0.1457,EmailSpam-bert,C,DeepSVDD,0.04397705544933078,1046,46
0.8907,0.9683,0.891,0.8091,0.89,0.8476,CreditCard,D,FTTransformer,0.09090909090909091,2200,200
0.8699,0.9633,0.8717,0.8045,0.885,0.8429,CreditCard,D,FEAWAD,0.09090909090909091,2200,200
0.1052,0.7299,0.1138,0.1143,0.2609,0.1589,EmailSpam-bert,C,GANoma,0.04397705544933078,1046,46
0.0976,0.7773,0.1022,0.1143,0.2609,0.1589,EmailSpam-bert,B,VAE,0.04397705544933078,1046,46
0.6346,0.948,0.6361,0.5273,0.58,0.5524,NSL-KDD,C,VAE,0.09090909090909091,2200,200
0.3349,0.8038,0.3386,0.3364,0.37,0.3524,AnnThyroid,B,AE,0.09090909090909091,1100,100
0.3043,0.805,0.307,0.2818,0.31,0.2952,NSL-KDD,A,LUNAR,0.09090909090909091,2200,200
0.2834,0.7231,0.2876,0.3091,0.34,0.3238,AnnThyroid,D,VAE,0.09090909090909091,1100,100
0.3678,0.6934,0.3452,0.3288,0.365,0.346,NSL-KDD,D,SO_GAAL,0.09090909090909091,2200,200
0.615,0.9477,0.6168,0.5136,0.565,0.5381,NSL-KDD,C,DeepSVDD,0.09090909090909091,2200,200
0.3107,0.7834,0.3142,0.3545,0.39,0.3714,CreditCard,A,DAGMM,0.09090909090909091,2200,200
0.2256,0.8412,0.2273,0.1591,0.175,0.1667,NSL-KDD,C,DAGMM,0.09090909090909091,2200,200
0.9145,0.9535,0.9146,0.8045,0.885,0.8429,CreditCard,C,FTTransformer,0.09090909090909091,2200,200
0.2943,0.7319,0.2984,0.3091,0.34,0.3238,AnnThyroid,C,VAE,0.09090909090909091,1100,100
0.1087,0.7372,0.1154,0.1333,0.3043,0.1854,EmailSpam-bert,D,AE,0.04397705544933078,1046,46
0.6898,0.9384,0.6961,0.6636,0.73,0.6952,CreditCard,D,VAE,0.09090909090909091,2200,200
0.0939,0.6866,0.0994,0.1333,0.3043,0.1854,EmailSpam-bert,B,DeepSVDD,0.04397705544933078,1046,46
0.8752,0.9928,0.8768,0.419,0.9565,0.5828,EmailSpam-bert,A,FEAWAD,0.04397705544933078,1046,46
0.1364,0.5774,0.1387,0.1545,0.17,0.1619,AnnThyroid,D,DeepSVDD,0.09090909090909091,1100,100
0.2686,0.7196,0.2727,0.3,0.33,0.3143,AnnThyroid,A,DeepSVDD,0.09090909090909091,1100,100
0.7433,0.9318,0.5838,0.63,0.86,0.7273,CreditCard,B,SO_GAAL,0.09090909090909091,2200,200
